
2025-07-24 01:29:28,617 - Step 60, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,329,268.33
2025-07-24 01:30:06,677 - Step 120, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=23,940,800.96
2025-07-24 01:30:44,402 - Step 180, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,744,606.85
2025-07-24 01:31:22,220 - Step 240, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=25,415,966.27
2025-07-24 01:32:00,847 - Step 300, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=17,575,500.60
2025-07-24 01:32:39,059 - Step 360, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=21,182,052.53
2025-07-24 01:33:17,429 - Step 420, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,482,037.90
2025-07-24 01:33:55,564 - Step 480, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=12,182,860.65
2025-07-24 01:34:33,569 - Step 540, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,075,151.91
2025-07-24 01:35:11,770 - Step 600, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,244,801.40
2025-07-24 01:35:50,003 - Step 660, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,187,464.32
2025-07-24 01:36:28,466 - Step 720, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,318,668.71
2025-07-24 01:37:07,170 - Step 780, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,311,047.25
2025-07-24 01:37:46,010 - Step 840, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,241,943.12
2025-07-24 01:38:24,959 - Step 900, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,737,966.94
2025-07-24 01:39:03,606 - Step 960, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,008,178.73
2025-07-24 01:39:42,556 - Step 1020, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,151,065.45
2025-07-24 01:40:38,429 - Step 60, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,038,994.94
